FTTB events 2026-07-30T09:00:00 -> 2026-08-06T09:00:00
Total: 241

      id                start_time                  end_time                                                                                                                                                                                                                                                                                                                                                                                                                                                           resource
A1050797 2026-08-05 21:41:00+03:00 2026-08-05 21:45:00+03:00                                                                                                                              FTTB_pe05.KK12.Moscow_Bundle-Ether97.4(2), FTTB_pe02.Kostroma_Bundle-Ether8402.4(2), FTTB_pe01.Kostroma_Bundle-Ether8402.4(2), FTTB_pe02.Tyumen_Bundle-Ether20(2), FTTB_pe02.Togliatti_Bundle-Ether301.24(2), FTTB_pe02.Smolensk_Bundle-Ether8402.4(2), FTTB_pe01.Togliatti_Bundle-Ether300.23(2), FTTB_pe01.Tyumen_Bundle-Ether20(2)
A1047462 2026-08-03 04:16:00+03:00 2026-08-03 04:49:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047437 2026-08-03 03:30:00+03:00 2026-08-03 04:15:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047438 2026-08-03 03:30:00+03:00 2026-08-03 04:15:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047434 2026-08-03 03:21:00+03:00 2026-08-03 03:29:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047433 2026-08-03 03:21:00+03:00 2026-08-03 03:29:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047416 2026-08-03 02:35:00+03:00 2026-08-03 03:20:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047415 2026-08-03 02:35:00+03:00 2026-08-03 03:20:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047405 2026-08-03 02:15:00+03:00 2026-08-03 02:34:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047404 2026-08-03 02:15:00+03:00 2026-08-03 02:34:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047366 2026-08-03 00:59:00+03:00 2026-08-03 02:12:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047365 2026-08-03 00:59:00+03:00 2026-08-03 02:12:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047360 2026-08-03 00:52:00+03:00 2026-08-03 00:56:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047358 2026-08-03 00:52:00+03:00 2026-08-03 00:56:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047349 2026-08-03 00:38:00+03:00 2026-08-03 00:49:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047348 2026-08-03 00:38:00+03:00 2026-08-03 00:49:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047346 2026-08-03 00:32:00+03:00 2026-08-03 00:37:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047345 2026-08-03 00:32:00+03:00 2026-08-03 00:37:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047338 2026-08-03 00:18:00+03:00 2026-08-03 00:27:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047337 2026-08-03 00:18:00+03:00 2026-08-03 00:27:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047335 2026-08-03 00:06:00+03:00 2026-08-03 00:16:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047334 2026-08-03 00:06:00+03:00 2026-08-03 00:16:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047326 2026-08-02 23:53:00+03:00 2026-08-03 00:02:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047325 2026-08-02 23:53:00+03:00 2026-08-03 00:02:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047320 2026-08-02 23:47:00+03:00 2026-08-02 23:52:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047321 2026-08-02 23:47:00+03:00 2026-08-02 23:52:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047318 2026-08-02 23:41:00+03:00 2026-08-02 23:46:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047316 2026-08-02 23:41:00+03:00 2026-08-02 23:46:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047309 2026-08-02 23:30:00+03:00 2026-08-02 23:35:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047308 2026-08-02 23:30:00+03:00 2026-08-02 23:35:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047301 2026-08-02 23:15:00+03:00 2026-08-02 23:26:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047300 2026-08-02 23:15:00+03:00 2026-08-02 23:26:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047271 2026-08-02 22:04:00+03:00 2026-08-02 22:13:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047270 2026-08-02 22:04:00+03:00 2026-08-02 22:13:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047263 2026-08-02 21:57:00+03:00 2026-08-02 22:02:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047262 2026-08-02 21:57:00+03:00 2026-08-02 22:02:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047249 2026-08-02 21:35:00+03:00 2026-08-02 21:55:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047248 2026-08-02 21:35:00+03:00 2026-08-02 21:55:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047238 2026-08-02 21:13:00+03:00 2026-08-02 21:23:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047237 2026-08-02 21:13:00+03:00 2026-08-02 21:23:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047231 2026-08-02 21:04:00+03:00 2026-08-02 21:08:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047230 2026-08-02 21:04:00+03:00 2026-08-02 21:08:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047220 2026-08-02 20:57:00+03:00 2026-08-02 21:01:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047219 2026-08-02 20:57:00+03:00 2026-08-02 21:01:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047196 2026-08-02 20:24:00+03:00 2026-08-02 20:29:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047195 2026-08-02 20:24:00+03:00 2026-08-02 20:29:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047186 2026-08-02 20:13:00+03:00 2026-08-02 20:21:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047185 2026-08-02 20:13:00+03:00 2026-08-02 20:21:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047170 2026-08-02 19:52:00+03:00 2026-08-02 20:00:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047171 2026-08-02 19:52:00+03:00 2026-08-02 20:00:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047168 2026-08-02 19:46:00+03:00 2026-08-02 19:51:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047166 2026-08-02 19:46:00+03:00 2026-08-02 19:51:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047162 2026-08-02 19:32:00+03:00 2026-08-02 19:41:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047161 2026-08-02 19:32:00+03:00 2026-08-02 19:41:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047157 2026-08-02 19:26:00+03:00 2026-08-02 19:30:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047156 2026-08-02 19:26:00+03:00 2026-08-02 19:30:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047151 2026-08-02 19:19:00+03:00 2026-08-02 19:24:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047150 2026-08-02 19:19:00+03:00 2026-08-02 19:24:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047139 2026-08-02 19:06:00+03:00 2026-08-02 19:15:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
